Question No	Question	Options
0	Não me sinto triste
1	Ando “neura” ou triste
2a	Sinto-me “neura” ou triste todo o tempo e não consigo evitá-lo
2b	Estou tão triste ou infeliz que esse estado se torna penoso para mim
3	Sinto-me tão triste ou infeliz que não consigo suportar mais este estado
0	Não estou demasiado pessimista nem me sinto desencorajado em relação ao futuro
1	Sinto-me com medo do futuro
2a	Sinto que não tenho nada a esperar do que surja no futuro
2b	Creio que nunca conseguirei resolver os meus problemas
3	Não tenho qualquer esperança no futuro e penso que a minha situação não pode melhorar
0	Não tenho a sensação de ter fracassado
1	Sinto que tive mais fracassos que a maioria das pessoas
2a	Sinto que realizei muito pouca coisa que tivesse valor ou significado
2b	Quando analiso a minha vida passada tudo o que noto é uma imensidade de fracassos
3	Sinto-me completamente fracassado como pessoa (pai, mãe, marido, mulher)
0	Não me sinto descontente com nada em especial
1a	Sinto-me aborrecido a maior parte do tempo
1b	Não obtenho satisfação com as coisas que me alegravam antigamente
2	Nunca mais consigo obter satisfação seja com o que for
3	Sinto-me descontente com tudo
0	Não me sinto culpado de nada em particular
1	Sinto, grande parte do tempo, que sou mau ou que não tenho qualquer valor
2a	Sinto-me bastante culpado
2b	Agora, sinto permanentemente que sou mau e não valho absolutamente nada
3	Considero que sou muito mau e não valho absolutamente nada
0	Não sinto que esteja a ser vítima de algum castigo1	Tenho o pressentimento de que me pode acontecer alguma coisa de mal
2	Sinto que estou a ser castigado ou que em breve serei castigado
3a	Sinto que mereço ser castigado
3b	Quero ser castigado
0	Não me sinto descontente comigo mesmo
1a	Estou desiludido comigo mesmo
1b	Não gosto de mim
2	Estou bastante desgostoso comigo mesmo
3	Odeio-me
0	Não sinto que seja pior do que qualquer outra pessoa
2	Critico-me a mim mesmo pelas minhas fraquezas ou erros
2	Culpo-me das minhas próprias faltas
3	Acuso-me por tudo de mal que acontece
0	Não tenho quaisquer ideias de fazer mal a mim mesmo
1	Tenho ideias de pôr termo à vida, mas não sou capaz de as concretizar
2a	Sinto que seria melhor morrer
2b	Creio que seria melhor para a minha família se eu morresse
3a	Tenho planos concretos sobre a forma como hei-de pôr termo à vida
3b	Matar-me-ia se tivesse oportunidade
0	Actualmente não choro mais do que de costume
1	Choro agora mais do que costumava
2	Actualmente passo o tempo a chorar e não consigo parar de fazê-Io
3	Costumava ser capaz de chorar, mas agora nem sequer consigo, mesmo quando tenho vontade
0	Não ando agora mais irritado do que de costume
1	Fico aborrecido ou irritado mais fàcilmente do que costumava
2	Sinto-me permanentemente irritado
3	Já não consigo ficar irritado por coisas que me irritavam anteriormente
0	Não perdi o interesse que tinha nas outras pessoas
1	Actualmente sinto menos interesse pelos outros do que costumava ter
2	Perdi quase todo o interesse pelas outras pessoas, sentindo pouca simpatia por elas
3	Perdi por completo o interesse pelas outras pessoas, não me importando absolutamente com nada a seu respeito
0	Sou capaz de tomar decisões tão bem como antigamente
1	Actualmente sinto-me menos seguro de mim mesmo e procuro evitar tomar decisões
2	Não sou capaz de tomar decisões sem a ajuda das outras pessoas
3	Sinto-me completamente incapaz de tomar decisões
0	Não acho que tenha pior aspecto do que de costume
1	Sinto-me aborrecido porque estou a parecer mais velho ou pouco atraente
2	Sinto que se deram modificações permanentes na minha aparência que me tornaram pouco atraente
3	Sinto que sou feio ou que tenho um aspecto repulsivo
0	Sou capaz de trabalhar tão bem como antigamente
1a	Actualmente preciso de um esforço maior do que dantes para começar a trabalhar
1b	Não consigo trabalhar tão bem como costumava
2	Tenho de dispender um grande esforço para fazer seja o que for
3	Sinto-me incapaz de realizar qualquer trabalho, por mais pequeno que seja
0	Consigo dormir tão bem como dantes
1	Acordo mais cansado de manhã do que era habitual
2	Acordo cerca de 1-2 horas mais cedo do que o costume e custa-me voltar a adormecer
3	Acordo todos os dias mais cedo do que o costume e não durmo mais do que 5 horas
0	Não me sinto mais cansado do que é habitual
1	Fico cansado com mais facilidade do que antigamente
2	Fico cansado quando faço seja o que for
3	Sinto.-me tão cansado que sou incapaz de fazer o que quer que seja
0	O meu apetite é o mesmo de sempre
1	O meu apetite não é tão bom como costumava ser
2	Actualmente o meu apetite está muito pior do que anteriormente3	Perdi completamente todo o apetite que tinha
0	Não tenho perdido muito peso, se é que perdi algum ultimamente
1	Perdi mais de 2,5 quilos de peso
2	Perdi mais de 5 quilos de peso
3	Perdi mais de 7,5 quilos de peso
0	A minha saúde não me preocupa mais do que o habitual
1	Sinto-me preocupado, com dores e sofrimentos, ou má disposião do estômago ou prisão de ventre ou ainda outras sensações físicas desagradáveis no meu corpo
2	Estou tão preocupado com a maneira como me sinto ou com aquilo que sinto, que se me torna difícil pensar noutra coisa
3	Encontro-me totalmente preocupado pela maneira como me sinto
0	Não notei qualquer mudança recente no meu interesse pela vida sexual
1	Encontro-me menos interessado pela vida sexual do que costumava estar
2	Actualmente sinto-me menos interessado pela vida sexual
3	Perdi completamente o interesse que tinha pela vida sexual
